winner_rank,winner_age,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced
33,27.25804244,151,9,4,137,69,49,39,17,8,10
26,25.92197125,156,6,4,100,49,40,31,16,2,3
19,21.79055441,119,1,0,88,60,39,17,15,4,7
5,23.78644764,82,5,0,54,40,30,6,10,1,3
22,21.94387406,106,6,5,98,53,43,19,12,7,9
35,23.34565366,87,11,5,65,28,25,20,11,2,3
13,24.71731691,97,6,5,94,63,49,17,15,4,5
64,23.50992471,86,4,4,71,38,28,19,10,6,7
28,22.03696099,94,6,5,74,38,34,19,11,5,5
10,26.00136893,58,7,3,52,25,23,15,9,1,1
62,30.43394935,94,4,1,76,47,34,17,11,4,5
2,28.58590007,133,8,12,103,58,48,21,17,1,4
34,26.39835729,130,2,2,94,59,40,17,15,2,5
8,23.58110883,163,3,4,117,65,45,23,16,11,17
26,25.92197125,95,1,1,66,24,19,22,9,1,3
5,23.78644764,132,5,1,100,62,50,19,15,5,5
35,23.34565366,82,4,4,69,28,23,21,9,4,5
64,23.50992471,61,4,2,43,26,25,12,9,0,0
10,26.00136893,101,8,9,84,41,31,20,11,5,7
2,28.58590007,103,24,5,79,49,42,14,14,7,8
8,23.58110883,61,4,0,47,30,19,11,7,7,8
26,25.92197125,121,6,2,84,38,29,26,13,6,8
35,23.34565366,94,8,6,67,35,33,17,11,2,3
10,26.00136893,93,10,4,85,46,38,21,14,4,5
26,25.92197125,85,4,1,51,24,20,19,10,3,4
10,26.00136893,151,12,5,121,61,48,36,17,5,7
26,25.92197125,120,10,1,77,38,30,28,14,6,7
2,25.98767967,60,5,3,47,22,21,13,8,5,5
34,23.86584531,68,8,1,50,28,20,18,9,0,0
280,27.91786448,78,5,4,72,43,32,16,14,0,3
13,26.43942505,93,9,6,70,36,26,18,10,6,7
69,27.89596167,93,2,0,57,29,23,19,10,2,4
23,22.11088296,100,19,2,95,53,45,23,15,5,7
35,27.18138261,80,3,2,75,50,34,16,11,4,5
11,25.44010951,68,6,3,47,27,23,9,8,1,2
98,29.83709788,85,13,7,71,40,36,18,11,2,2
49,26.4312115,68,4,2,47,22,14,15,8,1,3
110,21.77412731,122,15,4,104,68,50,15,16,8,11
5,23.70978782,134,5,0,94,54,41,21,14,9,11
15,30.66666667,62,7,3,48,25,24,13,9,0,0
19,21.71389459,88,9,0,80,52,33,13,11,8,11
40,24.90075291,112,6,1,82,58,45,10,14,3,5
4,22.61190965,63,1,2,45,22,17,19,9,0,0
2,25.98767967,71,5,4,61,30,20,18,9,4,5
13,26.43942505,84,16,8,80,47,37,14,11,4,5
23,22.11088296,87,11,5,71,38,34,15,10,6,7
11,25.44010951,81,8,1,53,27,25,13,10,0,1
49,26.4312115,99,5,0,64,39,33,18,11,0,0
5,23.70978782,73,5,4,58,36,29,14,10,2,2
15,30.66666667,158,10,7,121,55,41,38,17,9,12
4,22.61190965,132,6,4,99,51,39,24,16,3,6
2,25.98767967,124,8,4,104,56,47,28,16,3,4
11,25.44010951,93,11,4,70,37,32,18,10,6,6
49,26.4312115,74,6,2,49,22,20,17,9,0,0
15,30.66666667,141,9,3,102,60,48,15,15,12,15
11,25.44010951,122,14,5,98,56,41,18,14,8,11
15,30.66666667,73,13,1,51,23,23,17,10,0,0
15,30.66666667,,,,,,,,,,
3,24.06023272,,,,,,,,,,
83,27.33196441,79,2,2,67,42,30,14,11,4,6
56,28.5284052,46,3,0,36,22,18,12,7,2,2
18,27.76180698,79,7,4,61,39,33,11,11,4,5
15,23.90143737,,,,,,,,,,
69,27.74811773,97,5,2,75,42,28,19,13,4,7
97,29.71115674,91,11,1,74,32,26,22,12,0,4
17,24.76933607,48,8,1,41,25,22,11,8,1,1
16,24.13689254,83,5,0,59,38,29,14,11,3,4
155,22.18754278,62,6,3,49,29,22,11,9,0,2
76,30.49691992,55,7,3,50,32,25,10,8,3,3
13,23.24435318,82,5,4,55,35,27,10,9,5,6
24,28.61054073,52,3,0,41,24,21,9,7,1,1
54,24.06570842,102,7,4,67,41,26,14,11,1,4
53,22.5927447,63,6,1,48,26,21,16,9,1,1
10,26.07255305,101,6,7,86,51,36,17,14,7,10
3,24.06023272,80,4,1,52,25,20,21,10,2,2
18,27.76180698,136,6,6,107,69,49,19,16,8,11
15,23.90143737,125,21,2,87,58,45,20,16,3,4
97,29.71115674,110,1,3,97,56,35,22,15,3,8
16,24.13689254,95,5,1,66,39,27,19,12,3,4
13,23.24435318,71,2,2,47,25,20,10,9,1,3
24,28.61054073,68,3,0,46,29,24,11,8,6,6
10,26.07255305,81,2,1,54,35,28,9,9,3,4
18,27.76180698,88,8,1,81,51,39,17,11,4,4
15,23.90143737,65,13,2,54,37,34,6,9,2,2
13,23.24435318,83,8,3,60,29,25,14,9,3,4
10,26.07255305,147,9,7,101,58,40,15,15,10,16
15,23.90143737,96,14,3,77,50,38,15,11,1,2
13,23.24435318,90,6,1,55,29,24,16,9,0,0
13,23.24435318,131,12,6,102,61,44,23,14,8,10
16,28.57768652,100,8,2,70,49,36,11,12,5,7
110,27.40314853,,,,,,,,,,
256,23.16495551,33,0,2,23,13,8,3,3,5,7
49,21.5578371,72,8,0,48,38,32,5,9,0,0
29,21.86721424,63,1,0,46,31,22,10,8,4,5
224,22.5927447,48,0,0,46,32,23,8,8,0,1
75,28.09856263,67,2,0,43,30,21,8,7,1,1
326,29.23203285,29,1,1,18,11,5,4,5,0,2
45,23.09103354,79,0,0,63,40,32,11,11,3,5
196,24.38603696,69,1,0,64,51,34,4,8,8,10
87,21.31964408,86,0,3,46,33,27,7,8,1,1
28,26.47501711,82,4,0,69,40,27,17,10,7,8
51,21.16084873,133,3,7,114,81,52,16,17,6,11
119,29.36618754,58,0,2,44,26,21,11,8,0,0
58,19.137577,116,5,2,99,53,30,27,14,8,12
27,26.88021903,72,3,0,53,31,24,13,10,1,2
16,28.57768652,90,3,1,65,46,36,13,11,2,2
49,21.5578371,60,2,1,51,35,25,9,9,0,1
29,21.86721424,57,1,0,47,28,19,14,8,2,2
326,29.23203285,108,4,0,65,42,26,15,10,3,6
45,23.09103354,66,3,1,54,38,28,9,8,3,3
28,26.47501711,65,7,0,61,41,26,11,10,5,8
51,21.16084873,54,1,0,41,28,20,10,8,0,1
58,19.137577,97,4,3,87,53,36,16,12,2,5
49,21.5578371,92,4,1,73,58,43,8,11,1,1
29,21.86721424,42,1,0,29,17,15,9,6,0,0
45,23.09103354,134,1,1,103,65,44,19,15,3,6
51,21.16084873,70,0,1,58,42,28,10,9,1,2
29,21.86721424,109,2,0,88,68,44,13,13,6,8
45,23.09103354,111,2,5,78,52,33,12,13,3,8
45,23.09103354,148,0,1,95,61,38,21,16,3,8
1,29.71937029,87,6,1,61,40,32,17,13,1,1
47,23.35660507,136,3,5,115,77,57,22,17,4,5
33,21.88364134,174,10,6,111,52,42,33,20,2,5
204,28.79397673,102,1,2,82,56,42,14,13,2,2
46,23.74811773,147,17,5,146,76,54,40,20,6,10
37,24.82409309,164,14,5,146,93,71,23,24,5,10
166,21.76317591,218,21,9,176,109,82,40,29,4,7
19,23.19233402,163,10,9,135,71,50,30,21,10,15
10,28.11498973,96,21,1,81,43,39,24,14,1,1
34,23.78918549,154,17,7,112,54,45,35,20,1,3
137,26.58453114,154,6,4,109,61,45,33,19,5,7
99,18.90759754,105,7,4,84,51,41,19,13,3,4
123,22.80629706,189,14,3,158,100,72,33,24,6,9
41,26.24503765,116,4,3,86,44,35,24,14,3,5
55,22.86105407,82,1,3,87,56,37,13,11,5,8
9,29.52772074,239,39,11,210,127,99,38,28,20,22
3,28.43258042,99,10,3,78,50,46,19,16,2,2
79,27.86858316,120,9,5,113,64,47,28,17,7,9
45,29.19370294,142,14,7,106,48,41,34,17,5,7
151,26.17385353,129,11,2,112,58,44,30,14,15,17
48,24.40520192,92,5,8,73,31,26,22,12,4,6
126,34.31622177,116,3,4,84,50,37,21,16,1,5
64,29.42642026,177,1,2,129,94,68,20,22,4,9
102,20.59411362,144,6,6,120,53,36,35,18,4,8
13,25.36344969,211,30,7,162,101,82,33,23,7,7
60,23.72895277,112,0,3,83,59,38,10,14,3,7
238,25.54962355,92,15,0,70,41,36,19,13,3,3
26,21.63723477,111,2,2,80,38,26,24,13,4,7
133,23.26078029,221,9,7,180,99,69,43,25,20,24
56,27.03901437,111,12,5,95,64,55,18,15,0,0
115,23.58658453,99,8,1,80,50,42,17,14,2,3
80,29.72210815,224,25,11,179,113,84,31,30,8,15
91,26.17111567,179,13,7,182,95,71,44,26,8,14
95,25.44832307,172,15,8,144,79,63,33,25,4,9
17,18.89390828,197,10,6,149,94,78,26,21,8,9
